index,51,53,54,55,56,57,58,59
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured;D_3__uncultured Armatimonadetes bacterium,0,0,0,0,3,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured;D_3__uncultured bacterium,8,0,0,0,7,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured;D_3__uncultured soil bacterium,0,0,0,0,1,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured;__,5,3,0,0,13,0,0,0
D_0__Bacteria;D_1__BJ-169;D_2__uncultured bacterium;D_3__uncultured bacterium,8,20,0,0,0,0,0,2
D_0__Bacteria;D_1__BRC1;Ambiguous_taxa;Ambiguous_taxa,3,5,0,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes Incertae Sedis;D_3__Order II,0,0,0,0,0,0,3,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes VC2.1 Bac22;D_3__uncultured bacterium,9,0,0,5,0,0,10,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes vadinHA17;__,0,0,1,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Cytophagia;D_3__Cytophagales,637,1114,883,558,300,1724,741,839
D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales,285,261,90,60,121,986,561,41
D_0__Bacteria;D_1__Bacteroidetes;D_2__Sphingobacteriia;D_3__Sphingobacteriales,1804,1473,809,1591,1863,1949,1978,843
D_0__Bacteria;D_1__Bacteroidetes;__;__,4,0,6,0,0,18,4,0
D_0__Bacteria;D_1__Candidatus Berkelbacteria;D_2__uncultured bacterium;D_3__uncultured bacterium,2,4,0,0,0,4,0,0
D_0__Bacteria;D_1__Candidatus Berkelbacteria;D_2__uncultured soil bacterium;D_3__uncultured soil bacterium,0,0,0,0,3,0,0,0
D_0__Bacteria;D_1__Candidatus Berkelbacteria;__;__,1,0,0,0,2,0,0,0
D_0__Bacteria;D_1__Chlamydiae;D_2__Chlamydiae;D_3__Chlamydiales,39,14,24,1,23,34,12,4
D_0__Bacteria;D_1__Chlorobi;D_2__Chlorobia;D_3__Chlorobiales,57,55,17,35,11,98,86,7
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Anaerolineales,73,150,85,23,48,39,112,46
D_0__Bacteria;D_1__Chloroflexi;D_2__Ardenticatenia;D_3__Ardenticatenales,1,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Ardenticatenia;D_3__uncultured,0,6,0,2,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Caldilineae;D_3__Caldilineales,26,30,53,56,31,65,96,56
D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia;D_3__Chloroflexales,10,15,39,74,0,14,0,35
D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia;D_3__Herpetosiphonales,0,4,7,0,0,38,94,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia;D_3__Kallotenuales,11,0,0,5,20,4,7,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Gitt-GS-136;D_3__uncultured bacterium,2,0,0,0,0,0,0,17
D_0__Bacteria;D_1__Chloroflexi;D_2__JG30-KF-CM66;D_3__uncultured bacterium,0,12,37,0,0,0,0,26
D_0__Bacteria;D_1__Chloroflexi;D_2__JG30-KF-CM66;__,3,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96;D_3__uncultured Chloroflexi bacterium,0,0,0,0,0,0,0,32
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96;D_3__uncultured bacterium,81,87,218,123,30,0,38,208
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96;__,0,0,26,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria;D_3__C0119,68,18,0,14,54,3,58,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria;D_3__Ktedonobacterales,1,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__S085;D_3__uncultured Chloroflexi bacterium,11,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__S085;D_3__uncultured bacterium,36,65,0,0,32,0,0,37
D_0__Bacteria;D_1__Chloroflexi;D_2__SBR2076;Ambiguous_taxa,3,0,0,6,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__SBR2076;D_3__uncultured bacterium,12,11,15,16,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__TK10;D_3__uncultured bacterium,15,0,21,0,27,0,5,0
D_0__Bacteria;D_1__Chloroflexi;D_2__TK10;__,21,0,0,0,0,10,4,50
D_0__Bacteria;D_1__Chloroflexi;D_2__Thermomicrobia;D_3__AKYG1722,22,13,0,0,5,0,0,10
D_0__Bacteria;D_1__Chloroflexi;D_2__Thermomicrobia;D_3__JG30-KF-CM45,34,26,26,16,91,92,24,30
D_0__Bacteria;D_1__Chloroflexi;D_2__Thermomicrobia;D_3__Sphaerobacterales,0,0,0,0,5,0,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Cyanobacteria;D_3__SubsectionI,0,0,0,0,0,0,1,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Cyanobacteria;D_3__SubsectionII,0,0,0,0,0,156,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Cyanobacteria;D_3__SubsectionIII,0,0,5,10,0,11,0,10
D_0__Bacteria;D_1__Cyanobacteria;D_2__Cyanobacteria;D_3__SubsectionIV,0,0,23,35,0,47,0,20
D_0__Bacteria;D_1__Cyanobacteria;D_2__Cyanobacteria;D_3__uncultured,0,0,0,0,0,53,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Cyanobacteria;D_3__uncultured bacterium,0,0,0,0,0,5,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Cyanobacteria;__,0,0,0,0,0,13,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__ML635J-21;D_3__Hyaloperonospora arabidopsidis,3,0,0,0,1,0,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__ML635J-21;D_3__uncultured bacterium,13,3,0,0,0,7,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__ML635J-21;__,0,0,0,0,5,8,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria;D_3__Obscuribacterales,0,0,0,0,3,20,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria;D_3__Vampirovibrionales,2,0,0,1,0,11,0,0
D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci;D_3__Deinococcales,14,17,0,0,0,23,19,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia;D_3__Lineage IIa,0,0,0,0,21,0,0,9
D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia;D_3__Lineage IIb,0,0,16,5,0,0,3,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia;D_3__Lineage IIc,0,7,0,0,0,0,0,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia;D_3__Lineage IV,2,0,0,0,9,0,0,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia;D_3__MVP-88,0,0,0,6,0,0,0,0
D_0__Bacteria;D_1__FBP;D_2__uncultured bacterium;D_3__uncultured bacterium,11,16,0,0,12,23,11,0
D_0__Bacteria;D_1__Fibrobacteres;D_2__Fibrobacteria;D_3__Fibrobacterales,44,37,30,56,41,95,189,23
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales,93,199,4,54,49,63,79,217
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__SHBZ1548,0,6,0,0,0,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales,4,30,8,11,11,21,0,28
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Halanaerobiales,10,0,8,0,6,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia;D_3__Erysipelotrichales,0,0,2,1,0,0,0,12
D_0__Bacteria;D_1__Firmicutes;D_2__Limnochordia;D_3__Limnochordales,5,0,0,0,0,0,0,0
