index,51,53,54,55,56,57,58,59
D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia,2,7,16,11,30,0,3,9
D_0__Bacteria;D_1__FBP;D_2__uncultured bacterium,11,16,0,0,12,23,11,0
D_0__Bacteria;D_1__Fibrobacteres;D_2__Fibrobacteria,44,37,30,56,41,95,189,23
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli,93,205,4,54,49,63,79,217
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia,14,30,16,11,17,21,0,28
D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia,0,0,2,1,0,0,0,12
D_0__Bacteria;D_1__Firmicutes;D_2__Limnochordia,5,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__BD2-11 terrestrial group,5,0,4,0,0,0,0,19
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Gemmatimonadetes,258,93,115,107,614,159,533,80
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__S0134 terrestrial group,11,58,7,0,50,28,0,0
D_0__Bacteria;D_1__Gracilibacteria;Ambiguous_taxa,4,0,0,0,0,0,2,0
D_0__Bacteria;D_1__Gracilibacteria;__,0,0,0,0,0,3,0,0
D_0__Bacteria;D_1__Hydrogenedentes;D_2__uncultured bacterium,4,0,0,0,6,0,0,0
D_0__Bacteria;D_1__Hydrogenedentes;__,0,3,2,0,0,0,0,3
D_0__Bacteria;D_1__Ignavibacteriae;D_2__Ignavibacteria,0,0,0,13,0,0,0,0
D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured Fibrobacteres bacterium,0,0,8,0,0,0,0,0
D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured bacterium,0,0,20,8,0,5,0,68
D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured prokaryote,0,0,2,0,0,0,0,0
D_0__Bacteria;D_1__Microgenomates;D_2__Candidatus Woesebacteria,4,0,0,0,3,0,0,0
D_0__Bacteria;D_1__Microgenomates;D_2__uncultured candidate division WS6 bacterium,4,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Microgenomates;D_2__uncultured soil bacterium,3,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira,16,75,146,127,13,51,13,74
D_0__Bacteria;D_1__Omnitrophica;D_2__Omnitrophica Incertae Sedis,0,0,0,0,0,40,0,0
D_0__Bacteria;D_1__Omnitrophica;D_2__uncultured bacterium,0,5,0,0,0,0,0,0
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Adlerbacteria,26,4,9,0,42,0,0,0
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Azambacteria,99,31,12,0,43,5,76,0
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Campbellbacteria,12,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Magasanikbacteria,4,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Moranbacteria,4,11,4,0,9,0,7,0
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Nomurabacteria,58,8,6,2,28,14,21,17
D_0__Bacteria;D_1__Parcubacteria;D_2__Candidatus Uhrbacteria,25,0,0,0,0,4,0,8
D_0__Bacteria;D_1__Parcubacteria;D_2__groundwater metagenome,8,0,0,0,21,0,0,0
D_0__Bacteria;D_1__Parcubacteria;D_2__uncultured bacterium,35,6,2,12,7,0,68,0
D_0__Bacteria;D_1__Parcubacteria;D_2__uncultured soil bacterium,0,0,0,0,0,0,4,0
D_0__Bacteria;D_1__Parcubacteria;__,38,0,2,2,22,32,3,12
D_0__Bacteria;D_1__Peregrinibacteria;D_2__Candidatus Peribacteria,1,4,0,0,0,0,0,0
D_0__Bacteria;D_1__Peregrinibacteria;D_2__uncultured bacterium,0,0,0,0,0,5,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__OM190,3,0,8,0,0,5,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae,283,168,174,156,272,253,537,167
D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia,358,223,553,381,121,277,208,435
D_0__Bacteria;D_1__Planctomycetes;D_2__vadinHA49,0,0,11,0,0,91,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,3411,3359,3480,4046,4997,2561,1980,3204
D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria,1272,1642,1480,1498,935,1479,1529,1270
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria,1710,1642,1232,1144,1264,1361,2228,832
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,1197,1396,1300,1402,1465,1770,1495,1436
D_0__Bacteria;D_1__Proteobacteria;D_2__JTB23,0,0,0,4,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__SPOTSOCT00m83,2,3,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;__,3,2,0,0,0,4,3,0
D_0__Bacteria;D_1__SR1 (Absconditabacteria);D_2__uncultured candidate division SR1 bacterium,7,0,0,0,0,20,0,0
D_0__Bacteria;D_1__Saccharibacteria;Ambiguous_taxa,31,0,0,0,0,0,11,0
